BLK_NO,STREET,MAX_FLOOR_LEVEL,YEAR_COMPLETED,RESIDENTIAL,COMMERCIAL,MARKET_HAWKER,MULTISTOREY_CARPARK,TOTAL_DWELLING_UNITS,REMAINING_LEASE,ADDRESS,lat,lon,postal
1,BEACH RD,16,1970,Y,Y,N,N,142,43,1 BEACH RD Singapore,1.294801401498,103.854467487996,189673
1,BEDOK STH AVE 1,14,1975,Y,N,N,N,206,48,1 BEDOK STH AVE 1 Singapore,1.32085208689731,103.933721091441,460001
1,CANTONMENT RD,2,2010,N,Y,N,N,0,83,1 CANTONMENT RD Singapore,1.27548808568155,103.841419048957,080001
1,CHAI CHEE RD,15,1982,Y,N,N,N,102,55,1 CHAI CHEE RD Singapore,1.32796879176302,103.922716018139,461001
1,CHANGI VILLAGE RD,4,1975,Y,Y,N,N,55,48,1 CHANGI VILLAGE RD Singapore,1.38854656229022,103.987804503483,500001
1,DELTA AVE,25,1982,Y,N,N,N,96,55,1 DELTA AVE Singapore,1.2920752508431,103.828584077626,160001
1,DOVER RD,12,1975,Y,N,N,N,125,48,1 DOVER RD Singapore,1.3025299473495,103.783271662459,130001
1,EUNOS CRES,14,1977,Y,N,N,N,247,50,1 EUNOS CRES Singapore,1.3206576452482,103.90246344511,400001
1,EVERTON PK,12,1965,Y,Y,N,N,95,38,1 EVERTON PK Singapore,,,
1,GEYLANG SERAI,2,2009,N,Y,N,N,0,82,1 GEYLANG SERAI Singapore,1.31649443408571,103.896941669743,408528
1,GHIM MOH RD,15,1975,Y,N,N,N,220,48,1 GHIM MOH RD Singapore,1.31287975684307,103.786855017635,270001
1,HAIG RD,15,1976,Y,N,N,N,219,49,1 HAIG RD Singapore,1.31129091152627,103.897703432652,430001
1,HOLLAND CL,13,1973,Y,N,N,N,319,46,1 HOLLAND CL Singapore,1.30921937771543,103.796732386696,271001
1,HOUGANG AVE 3,14,1974,Y,N,N,N,204,47,1 HOUGANG AVE 3 Singapore,1.36413097349222,103.89300132385,530001
1,JLN KUKOH,17,1969,Y,N,Y,N,84,42,1 JLN KUKOH Singapore,1.2882310152805,103.839934168065,161001
1,JLN BT MERAH,14,1974,Y,Y,N,N,244,47,1 JLN BT MERAH Singapore,1.28645354030174,103.808242400418,150001
1,JOO CHIAT RD,5,1984,N,Y,N,N,0,57,1 JOO CHIAT RD Singapore,1.31587653400999,103.898378099316,420001
1,KEMPAS RD,1,2025,N,N,N,N,0,98,1 KEMPAS RD Singapore,1.31601875088283,103.859209335509,330001
1,KG KAYU RD,10,1963,Y,N,N,N,107,36,1 KG KAYU RD Singapore,,,
1,LOR 7 TOA PAYOH,11,1968,Y,N,N,N,196,41,1 LOR 7 TOA PAYOH Singapore,1.33943033543358,103.853442790992,310001
1,LOR LEW LIAN,14,1977,Y,N,N,N,179,50,1 LOR LEW LIAN Singapore,1.35086712646948,103.875343939672,531001
1,MARINE TER,25,1974,Y,Y,N,N,96,47,1 MARINE TER Singapore,1.30482902187779,103.918614976369,440001
1,MARSILING DR,11,1973,Y,N,N,N,159,46,1 MARSILING DR Singapore,1.44067109860246,103.775739945213,730001
1,MAUDE RD,14,1970,Y,Y,N,N,176,43,1 MAUDE RD Singapore,1.30758230206089,103.858967398343,200001
1,PINE CL,19,1998,Y,N,N,N,156,71,1 PINE CL Singapore,1.30787056219408,103.883192164927,390001
1,PUNGGOL DR,6,2022,N,N,N,N,0,95,1 PUNGGOL DR Singapore,1.40829892495231,103.905104199124,828629
1,QUEEN'S RD,23,1974,Y,N,N,N,88,47,1 QUEEN'S RD Singapore,1.31726629524359,103.806782877524,260001
1,ST. GEORGE'S RD,12,1975,Y,N,N,N,154,48,1 ST. GEORGE'S RD Singapore,,,
1,TAMPINES WALK,7,2016,N,N,N,N,0,89,1 TAMPINES WALK Singapore,1.35354740485205,103.940381104547,528523
1,TECK WHYE AVE,13,1983,Y,N,N,N,118,56,1 TECK WHYE AVE Singapore,1.38253882861956,103.751710905678,680001
1,TELOK BLANGAH CRES,16,1973,Y,Y,N,N,148,46,1 TELOK BLANGAH CRES Singapore,1.27945660077329,103.817897561986,090001
1,TG PAGAR PLAZA,24,1976,Y,Y,N,N,163,49,1 TG PAGAR PLAZA Singapore,1.2755961982077,103.842393171342,082001
1,THOMSON RD,4,1977,Y,Y,N,N,8,50,1 THOMSON RD Singapore,1.32559594839311,103.842571612968,300001
1,TOH YI DR,13,1987,Y,N,N,N,132,60,1 TOH YI DR Singapore,1.33958155877064,103.774586318946,591501
1,UPP ALJUNIED LANE,1,2003,N,Y,Y,N,0,76,1 UPP ALJUNIED LANE Singapore,1.33429242412799,103.878746207181,360001
1,WOODLANDS IND PK E3,2,1994,N,N,N,N,0,67,1 WOODLANDS IND PK E3 Singapore,,,
1A,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1A CANTONMENT RD Singapore,1.27784271048219,103.840965923691,085101
1A,EUNOS CRES,2,1981,Y,Y,N,N,2,54,1A EUNOS CRES Singapore,1.32129030482793,103.902727807563,401001
1A,EVERTON PK,1,2000,N,N,N,N,0,73,1A EVERTON PK Singapore,,,
1A,KEMPAS RD,30,2025,Y,N,N,N,135,98,1A KEMPAS RD Singapore,1.3161855822938,103.859370843058,331001
