BLK_NO,STREET,MAX_FLOOR_LEVEL,YEAR_COMPLETED,RESIDENTIAL,COMMERCIAL,MARKET_HAWKER,MULTISTOREY_CARPARK,TOTAL_DWELLING_UNITS,REMAINING_LEASE,ADDRESS,lat,lon,postal
1,BEACH RD,16,1970,Y,Y,N,N,142,43,1 BEACH RD Singapore,1.294801401,103.8544675,189673
1,BEDOK STH AVE 1,14,1975,Y,N,N,N,206,48,1 BEDOK STH AVE 1 Singapore,1.320852087,103.9337211,460001
1,CANTONMENT RD,2,2010,N,Y,N,N,0,83,1 CANTONMENT RD Singapore,1.275488086,103.841419,080001
1,CHAI CHEE RD,15,1982,Y,N,N,N,102,55,1 CHAI CHEE RD Singapore,1.327968792,103.922716,461001
1,CHANGI VILLAGE RD,4,1975,Y,Y,N,N,55,48,1 CHANGI VILLAGE RD Singapore,1.388546562,103.9878045,500001
1,DELTA AVE,25,1982,Y,N,N,N,96,55,1 DELTA AVE Singapore,1.292075251,103.8285841,160001
1,DOVER RD,12,1975,Y,N,N,N,125,48,1 DOVER RD Singapore,1.302529947,103.7832717,130001
1,EUNOS CRES,14,1977,Y,N,N,N,247,50,1 EUNOS CRES Singapore,1.320657645,103.9024634,400001
1,EVERTON PK,12,1965,Y,Y,N,N,95,38,1 EVERTON PK Singapore,1.2770942,103.8393393,081001
1,GEYLANG SERAI,2,2009,N,Y,N,N,0,82,1 GEYLANG SERAI Singapore,1.316494434,103.8969417,408528
1,GHIM MOH RD,15,1975,Y,N,N,N,220,48,1 GHIM MOH RD Singapore,1.312879757,103.786855,270001
1,HAIG RD,15,1976,Y,N,N,N,219,49,1 HAIG RD Singapore,1.311290912,103.8977034,430001
1,HOLLAND CL,13,1973,Y,N,N,N,319,46,1 HOLLAND CL Singapore,1.309219378,103.7967324,271001
1,HOUGANG AVE 3,14,1974,Y,N,N,N,204,47,1 HOUGANG AVE 3 Singapore,1.364130973,103.8930013,530001
1,JLN KUKOH,17,1969,Y,N,Y,N,84,42,1 JLN KUKOH Singapore,1.288231015,103.8399342,161001
1,JLN BT MERAH,14,1974,Y,Y,N,N,244,47,1 JLN BT MERAH Singapore,1.28645354,103.8082424,150001
1,JOO CHIAT RD,5,1984,N,Y,N,N,0,57,1 JOO CHIAT RD Singapore,1.315876534,103.8983781,420001
1,KEMPAS RD,1,2025,N,N,N,N,0,98,1 KEMPAS RD Singapore,1.316018751,103.8592093,330001
1,KG KAYU RD,10,1963,Y,N,N,N,107,36,1 KG KAYU RD Singapore,1.3036,103.8835,431001
1,LOR 7 TOA PAYOH,11,1968,Y,N,N,N,196,41,1 LOR 7 TOA PAYOH Singapore,1.339430335,103.8534428,310001
1,LOR LEW LIAN,14,1977,Y,N,N,N,179,50,1 LOR LEW LIAN Singapore,1.350867126,103.8753439,531001
1,MARINE TER,25,1974,Y,Y,N,N,96,47,1 MARINE TER Singapore,1.304829022,103.918615,440001
1,MARSILING DR,11,1973,Y,N,N,N,159,46,1 MARSILING DR Singapore,1.440671099,103.7757399,730001
1,MAUDE RD,14,1970,Y,Y,N,N,176,43,1 MAUDE RD Singapore,1.307582302,103.8589674,200001
1,PINE CL,19,1998,Y,N,N,N,156,71,1 PINE CL Singapore,1.307870562,103.8831922,390001
1,PUNGGOL DR,6,2022,N,N,N,N,0,95,1 PUNGGOL DR Singapore,1.408298925,103.9051042,828629
1,QUEEN'S RD,23,1974,Y,N,N,N,88,47,1 QUEEN'S RD Singapore,1.317266295,103.8067829,260001
1,ST. GEORGE'S RD,12,1975,Y,N,N,N,154,48,1 ST. GEORGE'S RD Singapore,1.3235,103.862,320001
1,TAMPINES WALK,7,2016,N,N,N,N,0,89,1 TAMPINES WALK Singapore,1.353547405,103.9403811,528523
1,TECK WHYE AVE,13,1983,Y,N,N,N,118,56,1 TECK WHYE AVE Singapore,1.382538829,103.7517109,680001
1,TELOK BLANGAH CRES,16,1973,Y,Y,N,N,148,46,1 TELOK BLANGAH CRES Singapore,1.279456601,103.8178976,090001
1,TG PAGAR PLAZA,24,1976,Y,Y,N,N,163,49,1 TG PAGAR PLAZA Singapore,1.275596198,103.8423932,082001
1,THOMSON RD,4,1977,Y,Y,N,N,8,50,1 THOMSON RD Singapore,1.325595948,103.8425716,300001
1,TOH YI DR,13,1987,Y,N,N,N,132,60,1 TOH YI DR Singapore,1.339581559,103.7745863,591501
1,UPP ALJUNIED LANE,1,2003,N,Y,Y,N,0,76,1 UPP ALJUNIED LANE Singapore,1.334292424,103.8787462,360001
1,WOODLANDS IND PK E3,2,1994,N,N,N,N,0,67,1 WOODLANDS IND PK E3 Singapore,1.437,103.7862,758346
1A,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1A CANTONMENT RD Singapore,1.27784271,103.8409659,085101
1A,EUNOS CRES,2,1981,Y,Y,N,N,2,54,1A EUNOS CRES Singapore,1.321290305,103.9027278,401001
1A,EVERTON PK,1,2000,N,N,N,N,0,73,1A EVERTON PK Singapore,1.2772,103.8403,081001
1A,KEMPAS RD,30,2025,Y,N,N,N,135,98,1A KEMPAS RD Singapore,1.316185582,103.8593708,331001
1A,TELOK BLANGAH CRES,1,2005,N,N,N,N,0,78,1A TELOK BLANGAH CRES Singapore,1.279606818,103.8177905,091001
1A,TELOK PAKU RD,5,2015,N,N,N,Y,0,88,1A TELOK PAKU RD Singapore,1.387966586,103.9882989,498730
1A,THOMSON RD,1,1980,N,Y,N,N,0,53,1A THOMSON RD Singapore,1.325741734,103.8430344,301001
1A,TOH YI DR,4,1988,N,N,N,Y,0,61,1A TOH YI DR Singapore,1.33904481,103.7743004,591601
1B,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1B CANTONMENT RD Singapore,1.277799407,103.8414034,085201
1B,KEMPAS RD,37,2025,Y,N,N,N,162,98,1B KEMPAS RD Singapore,1.316489016,103.8596647,332001
1C,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1C CANTONMENT RD Singapore,1.277449094,103.8416667,085301
1C,KEMPAS RD,1,2025,N,N,N,N,0,98,1C KEMPAS RD Singapore,1.316409244,103.8594482,333001
1D,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1D CANTONMENT RD Singapore,1.276920243,103.8414858,085401
1E,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1E CANTONMENT RD Singapore,1.276621684,103.8411561,085501
1F,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1F CANTONMENT RD Singapore,1.275986995,103.8411918,085601
1G,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1G CANTONMENT RD Singapore,1.275532291,103.8412746,085701
10,BENDEMEER RD,7,2016,N,N,N,Y,0,89,10 BENDEMEER RD Singapore,1.315509938,103.860953,330010
10,CANTONMENT CL,5,2000,N,N,N,Y,0,73,10 CANTONMENT CL Singapore,1.274569743,103.8392121,080010
10,CHAI CHEE RD,15,1999,Y,Y,N,N,84,72,10 CHAI CHEE RD Singapore,1.327275724,103.9248036,467010
10,DAKOTA CRES,7,1958,Y,N,N,N,53,31,10 DAKOTA CRES Singapore,1.306341146,103.8844582,390010
10,EUNOS CRES,16,1977,Y,N,N,N,180,50,10 EUNOS CRES Singapore,1.322286559,103.9027205,400010
10,GLOUCESTER RD,14,1976,Y,N,N,N,207,49,10 GLOUCESTER RD Singapore,1.313916587,103.8522098,210010
10,HAIG RD,13,1976,Y,Y,N,N,133,49,10 HAIG RD Singapore,1.314839502,103.8958652,430010
10,HOLLAND AVE,14,1973,Y,N,N,N,101,46,10 HOLLAND AVE Singapore,1.308149971,103.7942752,271010
10,JLN KUKOH,12,1970,Y,Y,N,N,92,43,10 JLN KUKOH Singapore,1.286973834,103.8390758,162010
10,JLN RUMAH TINGGI,4,1986,Y,N,N,N,28,59,10 JLN RUMAH TINGGI Singapore,1.288200189,103.8083694,150010
10,JLN BATU,12,1966,Y,N,N,N,132,39,10 JLN BATU Singapore,1.302044883,103.8828871,431010
10,JLN BT HO SWEE,10,1962,Y,N,N,N,120,35,10 JLN BT HO SWEE Singapore,1.28745837,103.8326758,161010
10,JOO SENG RD,20,1982,Y,N,N,N,76,55,10 JOO SENG RD Singapore,1.334618334,103.880165,360010
10,LOR 7 TOA PAYOH,25,1997,Y,N,N,N,96,70,10 LOR 7 TOA PAYOH Singapore,1.337165276,103.8572288,310010
10,MARSILING DR,22,1975,Y,Y,N,N,84,48,10 MARSILING DR Singapore,1.440805674,103.7773186,730010
10,NTH BRIDGE RD,16,1973,Y,Y,N,N,224,46,10 NTH BRIDGE RD Singapore,1.30555234,103.8635628,190010
10,PINE CL,13,1981,Y,N,N,N,120,54,10 PINE CL Singapore,1.309152394,103.8822425,391010
10,SELEGIE RD,10,1963,Y,Y,N,N,48,36,10 SELEGIE RD Singapore,1.303708794,103.8505372,180010
10,ST. GEORGE'S RD,4,1984,Y,N,N,N,12,57,10 ST. GEORGE'S RD Singapore,1.3236,103.862,320010
10,TECK WHYE AVE,12,1977,Y,N,N,N,153,50,10 TECK WHYE AVE Singapore,1.380470546,103.7552111,680010
10,TELOK BLANGAH CRES,10,1974,Y,Y,N,N,66,47,10 TELOK BLANGAH CRES Singapore,1.277731532,103.8197694,090010
10,TOH YI DR,7,1988,Y,N,N,N,36,61,10 TOH YI DR Singapore,1.337539566,103.7731611,590010
10,WOODLANDS AVE 8,4,2000,N,N,N,N,0,73,10 WOODLANDS AVE 8 Singapore,1.454287141,103.8002621,738973
10A,BENDEMEER RD,40,2016,Y,N,N,N,220,89,10A BENDEMEER RD Singapore,1.314991389,103.8605054,331010
118,ALKAFF CRES,1,2019,N,N,N,N,0,92,118 ALKAFF CRES Singapore,1.337314618,103.87388,340118
10A,BEDOK STH AVE 2,5,1992,N,N,N,Y,0,65,10A BEDOK STH AVE 2 Singapore,1.322585616,103.9368494,460010
10A,BOON TIONG RD,40,2014,Y,N,N,N,228,87,10A BOON TIONG RD Singapore,1.286358471,103.8296262,160010
10A,CHAI CHEE RD,1,1999,N,N,N,N,0,72,10A CHAI CHEE RD Singapore,1.327103643,103.9249213,469010
10A,HOLLAND DR,6,1997,N,N,N,Y,0,70,10A HOLLAND DR Singapore,1.308404471,103.7936975,272010
10A,JLN KUKOH,1,1999,N,N,N,N,0,72,10A JLN KUKOH Singapore,1.286837933,103.8386741,163010
10A,LOR 7 TOA PAYOH,5,1997,N,N,N,Y,0,70,10A LOR 7 TOA PAYOH Singapore,1.337171643,103.8577935,311010
10B,BEDOK STH AVE 2,20,1994,Y,N,N,N,56,67,10B BEDOK STH AVE 2 Singapore,1.322353866,103.9361833,461010
10B,BENDEMEER RD,40,2016,Y,N,N,N,184,89,10B BENDEMEER RD Singapore,1.315477153,103.8603129,332010
10B,BOON TIONG RD,30,2014,Y,N,N,N,160,87,10B BOON TIONG RD Singapore,1.286336847,103.8292048,164010
10B,LOR 7 TOA PAYOH,25,1997,Y,N,N,N,96,70,10B LOR 7 TOA PAYOH Singapore,1.337161364,103.8583536,312010
10C,BEDOK STH AVE 2,2,1994,Y,N,N,N,2,67,10C BEDOK STH AVE 2 Singapore,1.322094236,103.9362236,462010
10C,BENDEMEER RD,40,2016,Y,N,N,N,220,89,10C BENDEMEER RD Singapore,1.315842362,103.8606445,333010
10C,LOR 7 TOA PAYOH,1,1997,N,N,N,N,0,70,10C LOR 7 TOA PAYOH Singapore,1.33691013,103.8580493,313010
10D,BEDOK STH AVE 2,23,1994,Y,N,N,N,84,67,10D BEDOK STH AVE 2 Singapore,1.321770859,103.9363266,463010
